                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5951,                 4.1241,                 1.2115,                0.00222,                0.27554,                0.00165,                0.00055,                    nan,                    nan,                    nan,             0.00066405,             0.00066405,             0.00066405
                      2,                 2.9721,                 3.4262,                 1.3042,                0.16501,                0.05296,                0.03234,                 0.0106,                 3.0268,                 3.3866,                 1.3005,              0.0013163,              0.0013163,              0.0013163
                      3,                 2.9222,                 3.4688,                 1.2822,                0.03943,                0.09079,                0.01282,                0.00376,                  3.001,                 5.9299,                 1.3206,              0.0019119,              0.0019119,              0.0019119
                      4,                  2.875,                 3.3552,                 1.2681,                0.23502,                0.06368,                0.05225,                0.01718,                 2.9487,                 3.0842,                 1.2674,              0.0018109,              0.0018109,              0.0018109
                      5,                 2.7742,                 3.1302,                 1.2254,                0.19518,                0.10214,                0.05991,                0.01746,                 2.7913,                 2.9754,                 1.2393,              0.0018109,              0.0018109,              0.0018109
                      6,                 2.6816,                 3.0593,                 1.2099,                0.25522,                0.13178,                0.09033,                0.02635,                 2.7494,                 2.6804,                 1.2179,              0.0016724,              0.0016724,              0.0016724
                      7,                 2.6138,                 2.9441,                 1.1921,                0.24638,                0.16646,                0.11921,                0.03944,                 2.6633,                 2.7304,                 1.2283,               0.001505,               0.001505,               0.001505
                      8,                 2.5304,                 2.8709,                 1.1658,                0.27294,                0.18096,                0.11655,                0.03347,                 2.6673,                 2.5822,                  1.224,              0.0013159,              0.0013159,              0.0013159
                      9,                 2.4919,                 2.8007,                 1.1609,                0.29896,                0.19656,                0.13823,                0.04581,                 2.5184,                 2.5224,                  1.186,              0.0011135,              0.0011135,              0.0011135
                     10,                 2.3997,                 2.6864,                 1.1297,                0.31038,                0.19042,                0.14641,                0.04754,                 2.4809,                 2.4328,                 1.1544,             0.00090652,             0.00090652,             0.00090652
                     11,                 2.3559,                 2.6423,                 1.1419,                0.32726,                0.21501,                0.16244,                0.05423,                  2.517,                 2.3395,                 1.1804,             0.00070407,             0.00070407,             0.00070407
                     12,                 2.3349,                 2.4965,                 1.1312,                0.35102,                0.22951,                0.17514,                0.06288,                 2.3637,                 2.3333,                 1.1426,               0.000515,               0.000515,               0.000515
                     13,                 2.2997,                 2.4998,                 1.1254,                 0.3672,                 0.2396,                0.19351,                0.07071,                 2.3964,                 2.2322,                 1.1474,             0.00034756,             0.00034756,             0.00034756
                     14,                 2.2557,                 2.3657,                 1.1126,                0.35536,                0.22699,                 0.1809,                0.06106,                 2.4472,                 2.2041,                  1.152,             0.00020907,             0.00020907,             0.00020907
                     15,                 2.2001,                 2.3251,                   1.11,                0.38262,                0.24527,                0.20255,                0.07316,                 2.3806,                 2.1513,                 1.1431,             0.00010559,             0.00010559,             0.00010559
