                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6581,                 2.9982,                 1.2185,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070118,              0.0033203,              0.0033203
                      2,                 2.8875,                 3.2149,                 1.2682,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0388,              0.0053362,              0.0053362
                      3,                 2.8442,                 3.1645,                 1.2496,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061628,              0.0060321,              0.0060321
                      4,                 2.7122,                 3.0423,                 1.2335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                      5,                 2.6712,                 2.9404,                  1.202,                0.25927,                0.16078,                0.10757,                0.03131,                 2.7394,                 2.6736,                 1.2221,                0.00406,                0.00406,                0.00406
                      1,                 2.6791,                 2.9419,                  1.097,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068576,              0.0032756,              0.0032756
                      2,                  2.937,                 3.3191,                 1.1514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.035729,              0.0052645,              0.0052645
                      3,                  2.884,                 3.2465,                 1.1641,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057018,              0.0057018,              0.0057018
                      4,                 2.8229,                 3.1921,                 1.1332,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057018,              0.0057018,              0.0057018
                      5,                 2.7129,                 3.0683,                 1.1025,                0.22829,                0.13682,                0.08586,                 0.0266,                 2.7366,                 2.6782,                 1.1031,              0.0038326,              0.0038326,              0.0038326
                      1,                 3.0168,                 2.8884,                 1.2032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070646,               0.002556,               0.002556
                      2,                 3.2456,                 3.1846,                 1.2538,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040161,              0.0041059,              0.0041059
                      3,                 3.2318,                 3.1536,                 1.2317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008658,              0.0046379,              0.0046379
                      4,                 3.0949,                 3.0243,                 1.2126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032432,              0.0032432,              0.0032432
                      5,                 3.0236,                 2.9338,                 1.1737,                0.25433,                0.18663,                0.12196,                0.03934,                  3.004,                 2.5854,                 1.1939,              0.0032432,              0.0032432,              0.0032432
                      1,                    3.1,                 3.0947,                0.97807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.067277,              0.0044116,              0.0044116
                      2,                 3.4668,                 3.4894,                 1.0456,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.032674,              0.0070888,              0.0070888
                      3,                 3.3517,                 3.3755,                  1.001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071719,              0.0071719,              0.0071719
                      4,                 3.2875,                 3.2991,                0.98585,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071719,              0.0071719,              0.0071719
                      5,                 3.1903,                 3.1493,                0.95861,                 0.2486,                 0.1343,                0.08829,                0.02383,                 3.2327,                 2.7163,                0.97421,              0.0048179,              0.0048179,              0.0048179
                      1,                 2.6241,                 2.9659,                 1.2092,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070684,              0.0032899,              0.0032899
                      2,                 2.9243,                 3.2979,                 1.3114,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039947,               0.005287,               0.005287
                      3,                 2.8122,                 3.1912,                 1.2529,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0079011,              0.0059756,              0.0059756
                      4,                 2.7148,                 3.0513,                 1.2414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040944,              0.0040944,              0.0040944
                      5,                 2.6506,                 2.9884,                 1.1939,                0.19796,                0.16153,                0.08634,                0.02485,                 2.7442,                 3.0046,                 1.2348,              0.0040944,              0.0040944,              0.0040944
                      1,                 2.7568,                  3.399,                 1.0756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070341,              0.0027801,              0.0027801
                      2,                 3.0158,                 3.7009,                 1.1539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039459,              0.0044655,              0.0044655
                      3,                 2.8828,                 3.5957,                 1.1215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074699,              0.0050433,              0.0050433
                      4,                 2.7991,                 3.4836,                 1.0784,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034682,              0.0034682,              0.0034682
                      5,                 2.8047,                 3.4038,                 1.1002,                0.29564,                0.15322,                0.11217,                0.03829,                 2.7368,                  3.075,                 1.0688,              0.0034682,              0.0034682,              0.0034682
                      1,                 2.9913,                 2.8638,                 1.1984,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070513,              0.0025432,              0.0025432
                      2,                 3.2695,                 3.1996,                 1.2676,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039899,              0.0040854,              0.0040854
                      3,                 3.1926,                 3.1086,                 1.2361,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082717,              0.0046147,              0.0046147
                      4,                 3.1245,                  3.036,                 1.2347,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032147,              0.0032147,              0.0032147
                      5,                 3.0499,                 2.9793,                 1.1936,                0.27776,                0.17844,                0.11807,                0.03516,                 3.2414,                 2.6414,                 1.2735,              0.0032147,              0.0032147,              0.0032147
