                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2399,                 3.0353,                 1.4474,                0.00075,                0.18437,                0.00045,                0.00019,                    nan,                    nan,                    nan,             0.00066453,             0.00066453,             0.00066453
                      2,                 2.4395,                 2.8283,                 1.5912,                0.17947,                0.09158,                  0.047,                0.01418,                 2.8529,                 3.1201,                 1.6832,              0.0013168,              0.0013168,              0.0013168
                      3,                 2.4208,                 2.8098,                 1.5869,                0.32117,                0.20391,                 0.1693,                0.07092,                  2.462,                 2.6436,                  1.569,              0.0019124,              0.0019124,              0.0019124
                      4,                 2.3562,                 2.7038,                 1.5305,                0.25277,                0.22589,                0.16663,                0.05549,                 2.4853,                 2.7445,                 1.5802,              0.0018109,              0.0018109,              0.0018109
                      5,                 2.2772,                 2.5703,                 1.5032,                0.34556,                0.26557,                0.22412,                0.08203,                 2.3656,                  2.355,                  1.526,              0.0018109,              0.0018109,              0.0018109
                      6,                 2.1999,                 2.4798,                 1.4642,                0.37295,                0.27814,                0.24355,                0.08887,                 2.4491,                  2.315,                 1.5486,              0.0016724,              0.0016724,              0.0016724
                      7,                 2.1705,                 2.3737,                 1.4488,                0.36747,                0.30098,                 0.2669,                0.10758,                 2.2698,                 2.1668,                 1.4728,               0.001505,               0.001505,               0.001505
                      8,                 2.1204,                  2.311,                 1.4324,                0.43078,                0.31746,                0.30894,                0.11841,                 2.3499,                 2.0913,                 1.5086,              0.0013159,              0.0013159,              0.0013159
                      9,                 2.0796,                 2.2026,                 1.4192,                0.43653,                0.33211,                0.32462,                0.13963,                 2.1701,                 1.9859,                   1.43,              0.0011135,              0.0011135,              0.0011135
                     10,                 2.0422,                 2.1609,                 1.3897,                0.46557,                0.36058,                0.34382,                0.13698,                 2.2217,                 1.9848,                 1.4369,             0.00090652,             0.00090652,             0.00090652
                     11,                 1.9947,                 2.0745,                  1.399,                0.48884,                0.37363,                0.36913,                 0.1459,                 2.2416,                 1.8712,                  1.465,             0.00070407,             0.00070407,             0.00070407
                     12,                  1.986,                 2.0359,                 1.4026,                0.48603,                0.37118,                0.37821,                0.16291,                 2.1616,                 1.8249,                  1.409,               0.000515,               0.000515,               0.000515
                     13,                 1.9412,                 1.9557,                 1.3832,                0.50346,                0.40842,                0.40032,                0.17099,                 2.1369,                 1.7926,                 1.4056,             0.00034756,             0.00034756,             0.00034756
                     14,                 1.9074,                 1.8958,                 1.3644,                0.51196,                0.40659,                0.40753,                0.17566,                  2.121,                 1.7725,                 1.3937,             0.00020907,             0.00020907,             0.00020907
                     15,                 1.8991,                 1.8701,                 1.3494,                0.51561,                0.41026,                0.41266,                0.17212,                 2.1832,                 1.7489,                 1.4166,             0.00010559,             0.00010559,             0.00010559
