                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.648,                 2.9513,                 1.2255,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070118,              0.0033203,              0.0033203
                      2,                 2.8567,                 3.1896,                 1.2671,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0388,              0.0053362,              0.0053362
                      3,                 2.8527,                 3.1753,                 1.2577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061628,              0.0060321,              0.0060321
                      4,                 2.7303,                 3.0181,                 1.2295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                      5,                 2.6574,                 2.9128,                 1.2039,                0.24236,                0.16583,                0.10712,                0.03178,                 2.7338,                 2.6328,                 1.2349,                0.00406,                0.00406,                0.00406
                      1,                 2.9708,                 3.0827,                 1.2244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070118,              0.0033203,              0.0033203
                      2,                 3.1445,                 3.2778,                 1.2585,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.038801,              0.0053365,              0.0053365
                      3,                 3.1334,                 3.2791,                 1.2321,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061638,              0.0060331,              0.0060331
                      4,                 2.9919,                 3.1608,                 1.1962,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040615,              0.0040615,              0.0040615
                      5,                 2.9007,                 2.9891,                 1.1901,                0.22533,                0.14376,                0.08341,                0.02529,                 3.0444,                  2.769,                 1.2052,              0.0040615,              0.0040615,              0.0040615
                      1,                 2.6458,                 2.9054,                 1.3099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.076684,              0.0026022,              0.0026022
                      2,                 2.8767,                 3.2397,                 1.3903,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.052242,              0.0041808,              0.0041808
                      3,                   2.83,                 3.2245,                 1.3943,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.026764,              0.0047234,              0.0047234
                      4,                 2.7645,                 3.0345,                 1.3683,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040683,              0.0040683,              0.0040683
                      5,                 2.6851,                 2.9705,                 1.3127,                0.24004,                0.17024,                0.10368,                0.02992,                 2.7149,                 2.5491,                 1.3313,              0.0040683,              0.0040683,              0.0040683
                      1,                 2.6058,                 3.0418,                 1.3367,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070407,              0.0036091,              0.0036091
                      2,                 2.8847,                 3.4406,                 1.4079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039264,              0.0058004,              0.0058004
                      3,                 2.7789,                 3.3054,                 1.3754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066876,              0.0065569,              0.0065569
                      4,                 2.6705,                 3.0624,                 1.3292,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044132,              0.0044132,              0.0044132
                      5,                 2.5767,                 3.0228,                 1.2843,                0.23834,                0.14754,                  0.088,                0.02338,                  2.725,                 2.9686,                 1.3856,              0.0044132,              0.0044132,              0.0044132
                      1,                 2.7928,                 3.4667,                 1.3517,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.06941,               0.002613,               0.002613
                      2,                 3.0448,                 3.7573,                 1.4389,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.037662,              0.0041977,              0.0041977
                      3,                 2.9616,                 3.6725,                 1.4093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048724,              0.0047417,              0.0047417
                      4,                 2.8176,                 3.4981,                 1.3645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031868,              0.0031868,              0.0031868
                      5,                 2.7965,                 3.3778,                 1.3542,                 0.2147,                0.13052,                0.08027,                0.02218,                 3.1758,                 3.2556,                 1.4255,              0.0031868,              0.0031868,              0.0031868
                      1,                 3.0918,                 3.0388,                 1.2229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073915,              0.0031779,              0.0031779
                      2,                 3.4586,                 3.4493,                 1.2941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046466,              0.0051069,              0.0051069
                      3,                 3.3568,                 3.3466,                 1.2726,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017754,              0.0057721,              0.0057721
                      4,                  3.215,                 3.1299,                 1.2147,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044067,              0.0044067,              0.0044067
                      5,                 3.1347,                 3.0028,                 1.2008,                0.23302,                 0.1797,                0.10896,                 0.0363,                 3.0324,                 2.6254,                 1.1879,              0.0044067,              0.0044067,              0.0044067
                      1,                 2.6406,                 3.0169,                 1.5506,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072915,              0.0030095,              0.0030095
                      2,                 2.9713,                 3.3596,                 1.6797,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.044529,              0.0048367,              0.0048367
                      3,                 2.8527,                 3.2283,                  1.639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014946,              0.0054675,              0.0054675
                      4,                 2.7136,                 3.0431,                 1.5652,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                      5,                 2.7218,                 3.0485,                 1.6014,                0.23402,                0.16772,                0.10352,                0.03358,                 2.6622,                    nan,                 1.5382,                0.00406,                0.00406,                0.00406
                      1,                 3.1313,                 3.0896,                 1.2225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.074107,              0.0031025,              0.0031025
                      2,                 3.5126,                 3.4259,                 1.3339,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046881,              0.0049858,              0.0049858
                      3,                  3.406,                  3.372,                 1.3232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01842,              0.0056351,              0.0056351
                      4,                 3.2599,                 3.1823,                 1.2659,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043418,              0.0043418,              0.0043418
                      5,                 3.1861,                  3.065,                 1.2367,                0.25985,                 0.1343,                0.09265,                 0.0276,                 3.1878,                 2.7238,                  1.223,              0.0043418,              0.0043418,              0.0043418
                      1,                 2.7592,                 2.9735,                  1.809,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070496,               0.002406,               0.002406
                      2,                 3.0543,                 3.3932,                 1.9003,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039919,              0.0038639,              0.0038639
                      3,                 2.9913,                 3.2468,                 1.8911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0083824,              0.0043623,              0.0043623
                      4,                 2.8496,                 3.0971,                  1.826,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030475,              0.0030475,              0.0030475
                      5,                 2.7973,                 3.0297,                 1.7958,                0.28852,                0.17654,                0.12588,                0.03877,                 2.8687,                 2.6139,                 1.8046,              0.0030475,              0.0030475,              0.0030475
                      1,                 2.7385,                 3.5253,                 2.0683,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068349,              0.0025811,              0.0025811
                      2,                 3.0529,                 3.8675,                 2.1661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.035547,              0.0041451,              0.0041451
                      3,                 3.0788,                 3.7788,                 2.1509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004545,               0.004545,               0.004545
                      4,                 2.9462,                 3.7516,                 2.1593,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004545,               0.004545,               0.004545
                      5,                 2.8567,                 3.6141,                 2.0622,                0.26906,                0.16078,                0.11402,                0.03504,                 2.8676,                 3.0838,                 2.0824,              0.0030475,              0.0030475,              0.0030475
